# Generated by mat-a11y - do not edit
URL,Score,Status,IssueCount,TopIssue
Login,84,warning,2,focusWithinSupport
Signin,95,passing,3,colorContrast
Dashboard,90,passing,3,colorContrast
General,91,passing,3,colorContrast
StructuralOrder,92,passing,3,colorContrast
ClosingWords,75,warning,3,matIconAccessibility
ImageUpload,90,passing,3,colorContrast
AdminMagicLink,87,warning,3,colorContrast
Login,90,passing,3,colorContrast
ImageUploadDialog,85,warning,3,matDialogFocus
Footer,94,passing,3,colorContrast
ImagePreview,94,passing,2,visibilityHiddenUsage
ImpressumComponent,89,warning,2,colorContrast
StorageConsentBanner,93,passing,2,hoverWithoutFocus
MadLibsGeneratorComponent,95,passing,1,contentOverflow
MultiStepWizardComponent,95,passing,1,contentOverflow
ToneStyleSwitcherComponent,95,passing,2,colorContrast
SeatingAddGuestDialog,89,warning,2,autofocusUsage
SeatingAddTableDialog,89,warning,2,autofocusUsage
MilestoneTracker,90,passing,1,prefersReducedMotion
ProgressTracker,90,passing,1,prefersReducedMotion
VisualDiffSliderComponent,95,passing,1,contentOverflow
HochzeitswebsiteErstellenComponent,86,warning,2,colorContrast
GuidePromo,88,warning,2,colorContrast
GuideStorageConsent,85,warning,2,lineHeightTight
StorageConsentDialog,90,passing,2,matDialogFocus
Account,96,passing,2,colorContrast
DeleteAccount,90,passing,1,prefersReducedMotion
Invitations,88,warning,1,contentOverflow
Countdown,96,passing,2,matIconAccessibility
EigeneConfigurator,90,passing,2,matTooltipKeyboard
Freetext,93,passing,2,matIconAccessibility
BridalCouple,87,warning,2,matIconAccessibility
EmptyComponentState,91,passing,2,matIconAccessibility
PartnerLogin,89,warning,2,matIconAccessibility
ImpressumDialog,93,passing,2,touchTargets
EnableFeatureDialog,92,passing,2,matIconAccessibility
ReferralSigninNotice,93,passing,1,hoverWithoutFocus
FillInBlanksComponent,95,passing,1,colorContrast
TexturePickerComponent,95,passing,1,prefersReducedMotion
DecisionTree,95,passing,0,
DosDonts,95,passing,1,focusWithinSupport
AnleitungLandingComponent,95,passing,1,prefersReducedMotion
ChecklisteLanding,94,passing,1,prefersReducedMotion
GeneratorLandingComponent,94,passing,1,prefersReducedMotion
InspirationLandingComponent,94,passing,1,prefersReducedMotion
PlanerLandingComponent,94,passing,1,prefersReducedMotion
QuizLandingComponent,94,passing,1,prefersReducedMotion
RatgeberLandingComponent,94,passing,1,prefersReducedMotion
RechnerLanding,94,passing,1,prefersReducedMotion
TrackerLanding,94,passing,1,prefersReducedMotion
VergleichLanding,95,passing,1,prefersReducedMotion
SaveTheDateTexteComponent,93,passing,1,prefersReducedMotion
GuideHeader,94,passing,1,prefersReducedMotion
GuideImage,93,passing,1,prefersReducedMotion
GuideLanding,89,warning,1,contentOverflow
GuideLink,96,passing,1,contentOverflow
GuideLoaderComponent,92,passing,1,contentOverflow
ConfigConflictDialog,95,passing,1,colorContrast
ShareButtonComponent,93,passing,1,outlineNoneWithoutAlt
Logout,89,warning,1,prefersReducedMotion
AddReplyDialog,94,passing,1,matDialogFocus
ClosingWords,93,passing,1,matIconAccessibility
ContactInformation,93,passing,1,matIconAccessibility
Organisators,96,passing,1,prefersReducedMotion
Replies,95,passing,1,prefersReducedMotion
GuestView,93,passing,1,prefersReducedMotion
InvitationText,92,passing,1,prefersReducedMotion
ComponentEditButton,92,passing,1,prefersReducedMotion
WeddingRegistry,95,passing,1,headingOrder
LegalPage,92,passing,1,innerHtmlUsage
TakedownProcedure,96,passing,1,hoverWithoutFocus
PartnerMagicLink,93,passing,1,matIconAccessibility
ThemeInfoDialog,93,passing,1,colorContrast
Header,92,passing,1,hoverWithoutFocus
PageHeader,93,passing,1,prefersReducedMotion
PaymentProcess,93,passing,1,prefersReducedMotion
