# Generated by mat-a11y - do not edit
# traufix.de | freelancermap.de/profil/robin-spanier
URL,Score,Status,IssueCount,Priority,TopIssue
Organisators,90,passing,2,15,formLabels
CountdownTimer,82,warning,4,14,lineHeightTight
StorageConsentBanner,92,passing,2,14,hoverWithoutFocus
ToneStyleSwitcherComponent,94,passing,2,14,colorContrast
StorageConsentDialog,89,warning,2,14,matDialogFocus
EigeneConfigurator,89,warning,2,14,matTooltipKeyboard
PartnerLogin,88,warning,2,14,matIconAccessibility
ImageUploadDialog,88,warning,2,14,matDialogFocus
EnableFeatureDialog,88,warning,2,14,matIconAccessibility
MultiStepWizardComponent,90,passing,2,13,formLabels
QuantityChecklistComponent,78,warning,2,12,colorContrast
AddSimpleItemDialog,69,warning,2,12,matDialogFocus
CostSplitterComponent,85,warning,4,12,smallFontSize
CompatibilityQuiz,85,warning,2,12,colorContrast
SeatingChartTracker,86,warning,2,12,colorContrast
InteractiveChecklistComponent,83,warning,2,12,colorContrast
BudgetSpendTracker,81,warning,2,12,colorContrast
RsvpResponseTracker,86,warning,2,12,colorContrast
ROICalculatorComponent,85,warning,2,12,colorContrast
DragToArrangeComponent,90,passing,2,12,colorContrast
SeatingAddGuestDialog,89,warning,2,12,autofocusUsage
HochzeitswebsiteErstellenComponent,80,warning,2,12,colorContrast
GuidePromo,85,warning,2,12,colorContrast
FeatureMatrixComponent,82,warning,3,11,contentOverflow
PriceTierComparisonComponent,89,warning,3,11,contentOverflow
BudgetPriorityQuiz,84,warning,2,10,colorContrast
ChecklistTracker,91,passing,2,10,colorContrast
ImpressumDialog,92,passing,2,10,touchTargets
QrCode,95,passing,1,10,formLabels
WeddingRegistry,89,warning,3,9,innerHtmlUsage
ProgressChecklistComponent,83,warning,2,8,contentOverflow
YesNoQuiz,83,warning,2,8,contentOverflow
SwipeComparisonComponent,89,warning,2,8,contentOverflow
TipCarouselComponent,82,warning,2,8,innerHtmlUsage
FaqAccordion,84,warning,2,8,innerHtmlUsage
QuickTipsGrid,82,warning,2,8,contentOverflow
ComparisonCalculatorComponent,88,warning,2,8,contentOverflow
GuideStorageConsent,83,warning,2,8,lineHeightTight
InvitationText,80,warning,2,8,innerHtmlUsage
ReferralSigninNotice,89,warning,1,7,hoverWithoutFocus
FillInBlanksComponent,95,passing,1,7,colorContrast
ConfigConflictDialog,95,passing,1,7,colorContrast
ShareButtonComponent,92,passing,1,7,outlineNoneWithoutAlt
ClosingWords,91,passing,1,7,matIconAccessibility
Freetext,89,warning,1,7,matIconAccessibility
PartnerMagicLink,92,passing,1,7,matIconAccessibility
ThemeInfoDialog,90,passing,1,7,colorContrast
Header,92,passing,1,7,hoverWithoutFocus
PremiumColorDialog,92,passing,1,7,matIconAccessibility
MusicPlaylist,86,warning,2,6,smallFontSize
ProsConsCardsComponent,95,passing,2,6,contentOverflow
ImagePreview,94,passing,2,6,visibilityHiddenUsage
PriorityChecklistComponent,78,warning,1,5,prefersReducedMotion
NotesChecklistComponent,84,warning,1,5,prefersReducedMotion
Login,81,warning,1,5,prefersReducedMotion
VendorPaymentTracker,90,passing,1,5,prefersReducedMotion
MilestoneTracker,88,warning,1,5,prefersReducedMotion
ProgressTracker,90,passing,1,5,prefersReducedMotion
TexturePickerComponent,95,passing,1,5,prefersReducedMotion
AnleitungLandingComponent,95,passing,1,5,prefersReducedMotion
ChecklisteLanding,94,passing,1,5,prefersReducedMotion
GeneratorLandingComponent,94,passing,1,5,prefersReducedMotion
InspirationLandingComponent,94,passing,1,5,prefersReducedMotion
PlanerLandingComponent,94,passing,1,5,prefersReducedMotion
QuizLandingComponent,95,passing,1,5,prefersReducedMotion
RatgeberLandingComponent,94,passing,1,5,prefersReducedMotion
RechnerLanding,94,passing,1,5,prefersReducedMotion
TrackerLanding,94,passing,1,5,prefersReducedMotion
VergleichLanding,95,passing,1,5,prefersReducedMotion
SaveTheDateTexteComponent,90,passing,1,5,prefersReducedMotion
GuideHeader,93,passing,1,5,prefersReducedMotion
GuideImage,90,passing,1,5,prefersReducedMotion
DeleteAccount,94,passing,1,5,prefersReducedMotion
Logout,80,warning,1,5,prefersReducedMotion
GuestView,92,passing,1,5,prefersReducedMotion
ComponentEditButton,92,passing,1,5,prefersReducedMotion
PageHeader,93,passing,1,5,prefersReducedMotion
PaymentProcess,93,passing,1,5,prefersReducedMotion
